2026/06/07 18:04更新,#genre#
上海电信-组播1,#genre#
东方卫视,http://223.167.230.73:4022/rtp/233.18.204.51:5140
CCTV-1综合,http://223.167.230.73:4022/rtp/233.18.204.168:5140
CCTV-2财经,http://223.167.230.73:4022/rtp/233.18.204.68:5140
CCTV-3综艺,http://223.167.230.73:4022/rtp/233.18.204.69:5140
CCTV-4中文国际,http://223.167.230.73:4022/rtp/233.18.204.70:5140
CCTV-5体育,http://223.167.230.73:4022/rtp/233.18.204.72:5140
CCTV-6电影,http://223.167.230.73:4022/rtp/239.45.1.70:5140
CCTV-7国防军事,http://223.167.230.73:4022/rtp/233.18.204.73:5140
CCTV-8电视剧,http://223.167.230.73:4022/rtp/233.18.204.74:5140
CCTV-9纪录,http://223.167.230.73:4022/rtp/233.18.204.75:5140
CCTV-10科教,http://223.167.230.73:4022/rtp/233.18.204.76:5140
CCTV-11戏曲,http://223.167.230.73:4022/rtp/233.18.204.77:5140
CCTV-12社会与法,http://223.167.230.73:4022/rtp/233.18.204.78:5140
CCTV-13新闻,http://223.167.230.73:4022/rtp/233.18.204.79:5140
CCTV-14少儿,http://223.167.230.73:4022/rtp/233.18.204.80:5140
CCTV-15音乐,http://223.167.230.73:4022/rtp/233.18.204.81:5140
北京卫视,http://223.167.230.73:4022/rtp/233.18.204.87:5140
江苏卫视,http://223.167.230.73:4022/rtp/233.18.204.85:5140
浙江卫视,http://223.167.230.73:4022/rtp/233.18.204.84:5140
湖北卫视,http://223.167.230.73:4022/rtp/239.45.3.239:5140
湖南卫视,http://223.167.230.73:4022/rtp/239.45.3.228:5140
天津卫视,http://223.167.230.73:4022/rtp/239.45.1.124:5140
安徽卫视,http://223.167.230.73:4022/rtp/239.45.1.120:5140
山东卫视,http://223.167.230.73:4022/rtp/239.45.3.238:5140
广东卫视,http://223.167.230.73:4022/rtp/239.45.3.230:5140
东南卫视,http://223.167.230.73:4022/rtp/239.45.1.121:5140
广西卫视,http://223.167.230.73:4022/rtp/239.45.0.5:5140
江西卫视,http://223.167.230.73:4022/rtp/239.45.1.122:5140
河北卫视,http://223.167.230.73:4022/rtp/239.45.1.44:5140
河南卫视,http://223.167.230.73:4022/rtp/239.45.0.3:5140
海南卫视,http://223.167.230.73:4022/rtp/239.45.1.81:5140
深圳卫视,http://223.167.230.73:4022/rtp/239.45.3.231:5140
四川卫视,http://223.167.230.73:4022/rtp/239.45.1.83:5140
重庆卫视,http://223.167.230.73:4022/rtp/239.45.1.84:5140
云南卫视,http://223.167.230.73:4022/rtp/239.45.0.4:5140
